fold,dataset_version,evaluation,split,accuracy,dataset_distance_to_benchmark
0,chance_100/change_35,alt_model,val,0.8375,0.021273287671232877
1,chance_100/change_35,alt_model,val,0.85625,0.021273287671232877
2,chance_100/change_35,alt_model,val,0.86875,0.021273287671232877
3,chance_100/change_35,alt_model,val,0.89375,0.021273287671232877
4,chance_100/change_35,alt_model,val,0.8625,0.021273287671232877
0,chance_100/change_35,benchmark_model,test,0.345,0.021273287671232877
1,chance_100/change_35,benchmark_model,test,0.36,0.021273287671232877
2,chance_100/change_35,benchmark_model,test,0.245,0.021273287671232877
3,chance_100/change_35,benchmark_model,test,0.235,0.021273287671232877
4,chance_100/change_35,benchmark_model,test,0.37,0.021273287671232877
0,chance_100/change_35,benchmark_model,val,0.40625,0.021273287671232877
1,chance_100/change_35,benchmark_model,val,0.375,0.021273287671232877
2,chance_100/change_35,benchmark_model,val,0.24375,0.021273287671232877
3,chance_100/change_35,benchmark_model,val,0.24375,0.021273287671232877
4,chance_100/change_35,benchmark_model,val,0.3375,0.021273287671232877
0,chance_100/change_40,alt_model,test,0.94,0.012186301369863014
1,chance_100/change_40,alt_model,test,0.96,0.012186301369863014
2,chance_100/change_40,alt_model,test,0.95,0.012186301369863014
3,chance_100/change_40,alt_model,test,0.97,0.012186301369863014
4,chance_100/change_40,alt_model,test,0.915,0.012186301369863014
0,chance_100/change_40,alt_model,val,0.94375,0.012186301369863014
1,chance_100/change_40,alt_model,val,0.94375,0.012186301369863014
2,chance_100/change_40,alt_model,val,0.95625,0.012186301369863014
3,chance_100/change_40,alt_model,val,0.925,0.012186301369863014
4,chance_100/change_40,alt_model,val,0.975,0.012186301369863014
0,chance_100/change_40,benchmark_model,test,0.39,0.012186301369863014
1,chance_100/change_40,benchmark_model,test,0.395,0.012186301369863014
2,chance_100/change_40,benchmark_model,test,0.395,0.012186301369863014
3,chance_100/change_40,benchmark_model,test,0.42,0.012186301369863014
4,chance_100/change_40,benchmark_model,test,0.435,0.012186301369863014
0,chance_100/change_40,benchmark_model,val,0.40625,0.012186301369863014
1,chance_100/change_40,benchmark_model,val,0.35625,0.012186301369863014
2,chance_100/change_40,benchmark_model,val,0.39375,0.012186301369863014
3,chance_100/change_40,benchmark_model,val,0.41875,0.012186301369863014
4,chance_100/change_40,benchmark_model,val,0.4125,0.012186301369863014
0,chance_100/change_45,alt_model,test,0.53,0.020683561643835616
1,chance_100/change_45,alt_model,test,0.58,0.020683561643835616
2,chance_100/change_45,alt_model,test,0.575,0.020683561643835616
3,chance_100/change_45,alt_model,test,0.575,0.020683561643835616
4,chance_100/change_45,alt_model,test,0.61,0.020683561643835616
0,chance_100/change_45,alt_model,val,0.60625,0.020683561643835616
1,chance_100/change_45,alt_model,val,0.59375,0.020683561643835616
2,chance_100/change_45,alt_model,val,0.6375,0.020683561643835616
3,chance_100/change_45,alt_model,val,0.56875,0.020683561643835616
4,chance_100/change_45,alt_model,val,0.6,0.020683561643835616
0,chance_100/change_45,benchmark_model,test,0.26,0.020683561643835616
1,chance_100/change_45,benchmark_model,test,0.215,0.020683561643835616
2,chance_100/change_45,benchmark_model,test,0.225,0.020683561643835616
3,chance_100/change_45,benchmark_model,test,0.235,0.020683561643835616
4,chance_100/change_45,benchmark_model,test,0.25,0.020683561643835616
0,chance_100/change_45,benchmark_model,val,0.25,0.020683561643835616
1,chance_100/change_45,benchmark_model,val,0.21875,0.020683561643835616
2,chance_100/change_45,benchmark_model,val,0.2375,0.020683561643835616
3,chance_100/change_45,benchmark_model,val,0.25625,0.020683561643835616
4,chance_100/change_45,benchmark_model,val,0.25625,0.020683561643835616
0,chance_100/change_5,alt_model,test,0.91,0.004168835616438356
1,chance_100/change_5,alt_model,test,0.91,0.004168835616438356
2,chance_100/change_5,alt_model,test,0.92,0.004168835616438356
3,chance_100/change_5,alt_model,test,0.92,0.004168835616438356
4,chance_100/change_5,alt_model,test,0.945,0.004168835616438356
0,chance_100/change_5,alt_model,val,0.925,0.004168835616438356
1,chance_100/change_5,alt_model,val,0.9625,0.004168835616438356
2,chance_100/change_5,alt_model,val,0.94375,0.004168835616438356
3,chance_100/change_5,alt_model,val,0.9375,0.004168835616438356
4,chance_100/change_5,alt_model,val,0.9,0.004168835616438356
0,chance_100/change_5,benchmark_model,test,0.89,0.004168835616438356
1,chance_100/change_5,benchmark_model,test,0.85,0.004168835616438356
2,chance_100/change_5,benchmark_model,test,0.895,0.004168835616438356
3,chance_100/change_5,benchmark_model,test,0.86,0.004168835616438356
4,chance_100/change_5,benchmark_model,test,0.905,0.004168835616438356
0,chance_100/change_5,benchmark_model,val,0.875,0.004168835616438356
1,chance_100/change_5,benchmark_model,val,0.89375,0.004168835616438356
